Game,Reviewer,Completeness,Aesthetics,Fun,Innovation,Scope,Roguelike,Full Review
The Death of Juga t'Dy,Anonymous,2 Somewhat rough to play,"2 Works, and has some nice animation flourishes, but it's kinda minimal and only providing windowed mode with a 8x8 font makes my eyes hurt.","2 The tactical RPG style is interesting, but the fights are rather long and difficult. Also, you really don't want maps with single-cell-wide hallways when doing a tactics RPG. Or maps this big.","2 A tactical RPG is certainly new for 7DRL, but this isn't really a roguelike hybrid as much as a full-blown TRPG, and those are pretty well-established too.","2 From what I could see before dying, looks pretty much on scale.","1 Was dithering between 2 and 1, but I'm going to go all out here. It's multimodal, has multi-action turns and forces you to manually control all party members. This is a full tactical RPG done using ASCII. It does have the mapgen and permadeath, but the core gameplay is a very different thing.","This is a tactical RPG where you try to keep a group of characters alive through a series of battles. It's not very easy to do that. At least the interface is simple, with a basic power menu for the characters. The thing uses roguelike tropes, like maps with long, thin corridors, which work poorly in TRPG gameplay, but it's certainly worth developing more. Also, 'Juga t'Dy'? Is that some pun I'm not getting?"
Me Against the Mutants,Anonymous,3 Very polished,"3 Graphics and UI work very well. The interface is simple and takes no extra effort to learn, the game shows the necessary hints onscreen.",3 The main gameplay works and the unique mechanic is great fun.,3 Works both with the general form of a roguelike and adds an innovative mechanic with the looping box.,3 A bit more polish than I'd expect from a 7DRL.,"2 There is a realtime aspect which does change gameplay a bit. In particular, drawing the infinity box needs some dexterity if you need to do it in the middle of a real-time fight.","A very polished flash game with an unique mechanic where you can draw a looping portal box around your character to go around walls, ambush enemies and do other clever stuff. Also has very competent sprite graphics and an overall great interface."
Wyrm,Anonymous,3 As polished as a small scoped game needs to be,2 It surely is colorful. Maybe using more subtle colors would make it smoother to the eyes,1 I think it misses the point. The fun in a snake game comes from real time control. The challenge goes away with the turn by turn control,1 A slightly evolved snake game. Still a snake game,"1 Started with a small scope snake game, but didn't bring much to it. It's close to deserve a 2, but not close enough.","1 During 7DRL, people often take a non roguelike genre and try to bring roguelike elements to it. I would rather have a roguelike with other genre elements brought to it. This is definitely a snake game variation.","Take your usual snake game. Insert roguelike elements : turn by turn, moving mobs, fights. The result doesn't really works for me. Lacks some challenge and hack-and-slash-iness."
Warden,Anonymous,3 No particular issue. ,"2 A bit sober, but uses some simple but working color palette",2 As fun as a standard roguelike is. More depth would probably bring more fun.,1 Classic turn by turn roguelike. Nothing new here,"2 Fights, different creatures, dungeon generation,... ok deserves 2",3 definitely purebred,"A classic turn by turn dungeon dweller where you have to find all the shards of an ancient weapon to kill the last boss.
Lacks a bit of depth, but a good base to build upon for 7DRL 2013 !"
Waaghammer,Anonymous,"2 Some errors in world generation after level 4. Depending when the error occurs, you can get an empty world (no creatures)","2 classic, sober but pleasing look",2 standard roguelike fun level,1 Classic turn by turn roguelike. Nothing new here,"3 pretty much everything you expect as game mechanisms. Lacks some setting and story, but hell, this is 7DRL",3 purebred,"A complete turn by turn roguelike with inventory, equipment, ranged weapons and a lot of monsters.
Even features an Arena mode. Quite extensive for a 7DRL.
I've had world generation issues starting at level 4 with some empty levels."
Turambar,Anonymous,2 Even hardcore roguelike should take the player by the hand in 2012,1 eye crunching monochrome,1 Got killed too quickly to enjoy anything,"1 as far as I can tell, it's a classic roguelike","2 there seems to really be some depth, but the extreme difficulty makes it difficult to see",3 purebred,"A hardcore black and white roguelike. Got killed at first encounter in every game I played.
Definitely lacks some help screen as there seems to be some depth in it.
Keep it for bearded coders who were already enjoying that type of games back in the days."
The Well of Enchantments,Anonymous,2 Some help screen would make it better,2 really good looking sprite games are rare. This one avoids the total amateur look.,"2 classic fun. kill stuff, grab stuff, equip stuff",1 Classic turn by turn roguelike. Nothing new here,"3 Really extensive with weapons, armors, magic and everything",3 purebred,A nice and quite deep turn by turn graphical roguelike. Lacks some help screen.
The Adventurer's Guild,Anonymous,3 works smoothly,3 ascii art done well. I love the color palette,2 Fails to get 3 because of difficulty,"3 team of heroes, ascii art portraits",2 just what it needs to be a game. Begs for more content,3 innovative roguelike,"A nice flash roguelike where you control a team of 4 heroes.
Features nice ascii art portraits. AI pathfinding could be improved. I can't seem to get enough money to pay my teammate after the first day though."
Swamp Monster,Anonymous,2 screen redraws everytime you press a key : NOPE ! Also death = exit to desktop. Rude !,1 bluish monochrome. At least it's not black and white,1 I failed to understand the gameplay,1 Classic turn by turn roguelike. Nothing new here,1 couldn't do anything past a few turns.,3 purebred,"A true console roguelike. I didn't understand it. You are stuck on a tiny island surrounded by unpassable water. Until a creature comes and kill you.
The screen blinking everytime you press a key (on windows) is tedious. Also, immediate exit to desktop at death is a bit rude."
Ruins of Kal Raman,Anonymous,3 smooth controls. No special issue encountered,3 great lowres pixel art,2 the intuitive and quick controls compensate the lacks of depth ,"2 the gameplay is classic, the controls innovative",1 Begs for more content,3 purebred,"A beautiful pixel art mouse driven roguelike.
Lacks some depth and variety right now but could become really awesome with more work."
RoboCaptain,Anonymous,3 no issue,2 looks like bright colors seen through a mist. Does not work very well. ,3 a lot of different powers to use to crush your enemies.,2 innovation is in the powers,3 nice amount of content. Even has in-game hints and lore,3 purebred,"Futuristic roguelike where you are a robot searching for the Yendor AI core. You fight other robots using gear you find on the ground. That does not sound as good as it is. Worth a try.
"
Roadlike,Anonymous,"3 it works. Had no issue with ""press a key and don't release it"" controls. Had a hard time to find out how to start the thing though",2 nice pixel art,"1 as fun as some minimalist metaphysical barely interactive experiment is (yep you got it, that's not really a game)",1 no game = no innovation,1 content ? nope,1 nope,DAFUQ !?
Revenge on a toy factory,Anonymous,3 everything is here,"1 you can't really be hot when you're a true console game, can you?",2 like : a lot of game mechanisms. don't like : the cops !,2 first time I see conveyor belts in a roguelike. also first time I'm a toy,3 a complete game,3 innovative roguelike,"A pure console roguelike with advanced gameplay
(objectives, devices like conveyor belts)"
Phage,Anonymous,3 no special issue,2 looks as good as an ascii T-Engine 4 game,3 morphing is fun !,2 everything is a talent is a nice idea,"2 just a 500 turn deathmatch, really",3 innovative roguelike,"*** WARNING, SPOILER ***
You have to survive 500 turns, chased by a hord of. . .  things.
You can steal their power when you kill them.
Lazy as I am, I simply waited 500 turns on starting cell and won :D But if you really play the game, it's quite fun"
Mutant Aliens,Anonymous,3 works well,2 classic roguelike look with a purple / greenish palette,2 fun enough to waste your coffee pause on it,2 some interesting features like procedural enemies and having to find the radio emitter position,3 good amount of stuff packed in,3 innovative roguelike,Another sci-fi themed roguelike with some refreshing features. Worth a look.
Mujahid,Anonymous,3 no bug found,2 background color makes it possible to hightlight both the player and the enemies' fov. The color palette could be improved though,"2 If you like stealth games, you'll like this one","2 while there are few roguelike actually implementing a full stealth gameplay, that's not something really new",2 stealth engine and some nice AI features,3 classic roguelike with stealth. ThiefRL !,"A stealth roguelike with directional fov for player and enemies
and thieve-like gameplay (you can throw stones to distract guards)"
Mont Asall,Anonymous,"3 works smoothly, but it's probably using some out-of-the-box rpg engine",3 great pixel art similar to the early Final fantasy games,2 the kind of fun you expect with a classic 2D rpg,1 nope,3 a real complete RPG,"1 it's a 2D rpg, not a roguelike","A graphical 8bits JRPG. Classic and well done. Some oddities (the
fight inventory shows all item categories even if you have no items)"
AsylumRL,Anonymous,2 - Lacks polish. For example corpses encountered in caves are said to be lying on floor.,2 - Looks well but brass key is difficult to spot and you cannot walk with arrow keys.,1 - AsylumRL kills you with boredom. Searching for key in three cave levels takes too long and runs the game's atmosphere.,1 - New theme but nothing special about mechanics.,3 - A lot of work went into this one. Considerable amount of polish in user interface and two level generation algorithms.,3 - Yes.,"Okay, this one succeeded at scaring me at the beginning and at the end. Had to restart it two times beause I could not spot the key in caves. That was really boring and killed the game for me."
Jelly,Anonymous,3 - There is not much in game but what there is works well.,3 - Cute jellies.,2 - Good but it is not challenging.,"1 - The easy to use inventory has been done in other games, notably Z-Day. Otherwise its Rogue.",2 - Several types of jellies to whack and items in boxes.,3 - No doubts.,Definitely fun but ends too quickly. It would be useful for the jellies to mount more resistance.
AppRogue,Anonymous,"2 - The game functions as advertised, but there is a clear lack of polish.","1 - As presented, the graphics are functional, but the interface makes the game a chore to play. I understand that this is due in part to the limitations imposed by the interface, but it renders the game almost unplayable","1 - Too slow and too tedious to be fun in its current form, needs faster gameplay and enemies that don't take minutes to kill","3 - This is a functional multiplayer in-browser roguelike. Lots of people have talked about the how to implement a multiplayer RL, and AppRogue does a good job of showing off some of the unique problems any such implementation faces.",2 - The game function to the extent I'd expect from a 7DRL that aimed for such a lofty target as a Multiplayer RL,"2 - AppRogue is missing the turn-based mechanics more roguelikes use, but still has permadeath and probably procedural content (kind of hard to tell as it is a chore to play through ","This game feels like an experiment that failed to disprove the null hypothesis that Roguelikes can't be multiplayer. It is a good effort and demonstrates some of the pitfalls of simultaneous RL play. Personally, I'd like to see more titles like this during this contest, we can't have bold experiments that expand the genre with new styles of gameplay without bold experiments that fail to do so. "
Ascension of the Drillworms,Anonymous,"2 - Apart from some apparent inventory management bugs, and some missing usability components, the game feels like a solid piece of software","3 - Very cool monochromatic graphics, nice interaction model though could have had a directional cursor and show what an item is on mouse hover (right now you have to pick them up in order to know)",3 - Was pretty fun and challenging.,"2 - There have been some other ""plugin-based"" roguelikes in the past (power source+equiped gadgets). Though the mecanic is still innovative",2 - About what you'd expect for a 7DRL.,3 - Including inventory management,A pretty nice mouse controlled monochromatic roguelike which plays pretty well. Reminds me a bit of that hivemind roguelike of previous years.
Fuel,Anonymous,2 - You can start right on a monster. It locks up the game.,3 - Sketchy graphics look cool and very few buttons to learn.,"2 - Quite fun but lacks balance a bit. Also, this game being not a roguelike does not cater to usual RL player tastes.",1 - Roguelikes with side view have been done several times already.,2 - Slightly below average in this respect.,2 - It has procedurally generated levels and is turn based but the focus on going through a level in time which decreases the tactical part of the game.,A turn-based platformer with procedurally generated levels. Not a roguelike really but still fun to play for a while.
phage,Anonymous,2 - You can stumble on some lua errors if you know where (not) to click.,1 - Inability to play only with keyboard is absolutely abhorrent! In result one has to switch between mouse and keyboard because walking with mouse by one tile at time is very tiring.,3 - Great stuff! I wish the time limit was quadrupled so I could see what the phage could evolve into.,3 - You are what you eat (in this case defeat) is common trope in roguelikes but has never been done so well.,2 - User interface could use somemore work.,3 - Lack of items somewhat harms this but not enough to make it a 2.,"You are defined by your abilities which fall into three groups: offense, defense and senses. You have to defeat locals in order to absorb their talents so you can augment yourself and become a superior creature. Select the best abilities from defeated creatures to become stronger. Maintain balance of abilities for greates chances of survival."
Sword in Hand,Anonymous,3 - Nicely polished. The only problem I could spot the sword would only name first item from a stack as uninteresting instead of all.,3 - Just beautiful.,3 - This one is even replayable.,1 - Vicious Orcs engine refitted. Sword in Hand brings nothing new to the table.,3 - Several locations to visit and nice amount of texts. The game relies heavily on engine of Vicious Orcs which probably helped to achieve such scope. A three nonetheless.,"3 - Obviously, although maps are static.","This one is actually difficult! Even single attacks cost *you* a point of health. To increase your hit points beyond the norm you have to score combos which deal more damage than they cost in blood. Player needs to do some thinking to be successful. On top of that the game carries a message. If you read quest descriptions and ponder why and what numbers are shown on the war table it becomes readily apparent. However, I seem to have gotten a different message than author may have intended."
Top Dog,Anonymous,2 - This asks for bit more polish. You are not told you cannot advance more than once space into water and you get same score bonus regardless what you piddle at.,3 - No option to drop the thing you are carrying. This is a minor thing though.,"2 - Woof, woof. Wooooof!! *psssss*",3 - Detective roguelike done right. Being a dog and battles continuing only to the point of one party fleeing all add up to nice amount of innovation.,2 - Maps are static unfortunately. If those were procedurally generated the score would be a three.,3 - Combat is not as common but still frequent enough.,"A roguelike where you play a dog and have to do some walking around to get into real combat. The game has unusual theme but mechanics work as expected. Sniff animals to initiate dialogue, kick some fat furballs around, eat salami and ... piddle at flowers for bonus score."
AsylumRL,Anonymous,3 - Rounded and complete for what they went for,"2 - Nice minimalist appearance, only wasd keys with no diagonal movements is a bit painful. Full screen option would have been great...","2 - Challenging, although not very replayable, and very unavoidable instadeaths ruin the end game. VERY HUGE levels, you have to roam almost empty giant levels looking for a key and a downstairs.",1 - Food clock is replaced with sanity counter (although it wont reach zero but it reduces your LoS). Representing madness in a roguelike would be more than just adjusting LoS and changing the background volume though.,2 - A nice theme and story,"2 - Very sparse content and low replayability, no interaction with other entities. Has some tactical elements (to avoid the sparks of death)","Centered around the theme of sanity, you must escape a ghostly assylum, haunted by mirages of death. First levels are static, later levels are way too huge, there are no other actors to interact with and death is very unavoidable. Still interesting to reveal the plot slowly."
Jelly,Anonymous,"2 - Seems reasonable complete, only lacks an ending or scoring mechanisms. Even just a leaderboard for kills or level would have made this a 3","3 - Certainly pretty and functional. Never had to check my hands while playing, the game flowed rather smoothly.","1 - Wonking jellies on the head with a schoolgirl wielding an oversized mallet may be cute, but it gets old pretty quick. Needs more variety to gameplay.","1 - Pretty graphics, but nothing new under the hood.","2 - Low end of two, but making a RL that pretty is an undertaking in itself so it makes the grade for that.","3 - As pure as they come, procedurally generated, turn-based, permadeath, (some) inventory management","This game is a good demonstration that roguelikes don't have to be ugly and have controls that cause vi user's mouths to water. Unfortunately, it is more a tech demo than anything. It'd be interesting to see this game expanded into something along the lines of the Shiren the Wanderer."
Dead Night Forest Chapter 2: The Lost Caravan,Anonymous,2 - Complete for a tech demo of 3d sword fighter.,"1 - Played at 2560x1600, max graphics.  One must balance the detail of different texture layers or things are lop-sided.  Very hard to right-mouse on objects as they have a narrow active window.  Mouse is very sensitive.  Death screen is jarring and abrubt.  I do like the look of the characters & trees, and the nice lighting of campfires.","1 - Was enjoyable for a bit, but it is too grinding to complete the first quest.  If there is more content, should be opened up sooner.  Combat is just kiting + button mashing it seems.","2 - This is an attempt at a FPS roguelike.  However, see roguelike comment.",2 - Hard to tell without a better idea what comes packaged in unity.,"1 - BZ Flag isn't a roguelike.  Random levels are not enough.  You need tactical combat.  Space is not used in combat here, instead it is mostly about timing, making it very much a FPS and not at all a roguelike.","Dead Night Forest is an attempt at a first-person roguelike.  You wander a dark forest punctuated by occasional campfires.  Those at the campfires you slay.  Unfortunately, it definitely feels like an FPS with random maps, not a roguelike viewed in the first person."
Emet,Anonymous,1 - Not really a complete game but rather a testing place for a combat system (although playable),"2 - Looks ok; UI could use some help like highlighting where your ""Health"" is... also nice would be an in-game explanation of what the game is about (had to lookup the website)",2 - Fun if you want to discover the mechanics of the combat engine,"2 - Card based combat has been tried before, but implementation is well-designed",2 - Just adding a (interesting)combat mechanic to some randomly moving @ in the map,3 - Is got most of the points in the book,"Played this via SSH, this entry seeks to test a somewhat complex combat engine based on ""Tokens"", worth a look."
HyperRogue II,Anonymous,3 - Complete with score tracking.,"3 - It is so easy to get strange map technology wrong.  But this doesn't.  Movement is smooth.  The 8-way is intuitively mapped to the local cell choices.  The map scrolls *after* you move smoothly, giving smooth turn based motion.",2 - Problem of this space may be it is just too big.  I feel my main strategy is just to run away.  No particular urge to clear one area.,"3 - Not just interesting geometry, but some interesting enemies such as vines and worms designed around the Rook-like movement.","2 - While I think there may be nothing more to add to the game, it definitely isn't a massive scoped game either.  It is very much the size it should be.",3 - Tactical based dungeon crawler.,Consider my mind blown.
SUN CRUSHER!!!,Anonymous,"2 - Plays, no crashes.  Pleanty of sharp corners, like how you start a new level with partial moves.",2 - It is a nice look with sound.  But putting important UI in the title bar meant it took me a longn time to figure out how many moves I had left.  Also thankfully I had been warned about hitting space before.  I like how everything orbits.,"1 - Blowing stuff up is fun, but the mechanic seems way too easy.","1 - Well outside of roguelike genre, so hard to say how it is innovative.",1 - The @ on map equivalent of a strategy game.,"1 - The lack of exploration very much makes it a puzzle game, not a roguelike","You are flying a space ship trying to destroy the evil space bases before they destroy you.  Fortunately for you, you have the SUN CRUSHER!! a weapon that can obliterate stores.  Unfortunately, it's blast radius is a bit big, so do be careful out there!"
Porta Lucis,Anonymous,3 - Definitely a complete room with full beginning middle and end,"3 - Light plays an important role in the game and the graphics handle this well, controls are simple and concentrated.",3 - This is the first game so far this 7DRL that I will be playing again after this judging is complete. It his a compiling story the pulls you in enough to keep playing,"2 - I don't think a single feature in this RL is completely original, but the light, one-hit kill, and death mechanics are weaved together better than many long running RLs.","3 - Good story, good gameplay and decent balance at above and beyond in a 7DRL","3 - A bit of a toss on this one, but it is procedurally generated, turn-based and has permadeath and limited inventory management","This is probably one of the better psychological RLs I've seen in a 7DRL. The length makes it a coffee break game and it's as tight as they get. Could use some music, and maybe flickering lights or destructable lights (though the messages for when I tried knifing the lights was a nice touch). Overall, a solid title that is setting the bar high for horror themed RLs this year"
RoboCaptain,Anonymous,"1 - No victory condition, could only have properly refreshing FOV under Opera. Right clicks not captured properly.",2 - Fails to capture space which is also interpreted by browser. It should have been some other key to perform generic action.,2 - Tougher enemies need to be handled carefully but due to overabundance of supplies it is hard to lose.,1 - Everything that could be called new was in Scrap years ago.,"2 - Some levels, interesting enemies.",3 - Fits nicely.,"As a robot you may turn your power into ammunition, hit points or invisibility time. The point of Robo Captain is management of these resources."
Life of Sir Pointsalot,Anonymous,1 - Bugs are too numerous to list.,1 - Menu based interface is broken in almost all respects. Three keystrokes to make an attack? Forget it.,1 - This is a tech demo. Nothing playable.,1 - What innovation?,1 - Declaring this a success is just wrong.,"3 - Okay, have to admit it fits.",Not playable. Monsters are there but they die at random times and getting them to attack you or even move is really difficult. Essentially a failed 7DRL.
Mutant Aliens,Anonymous,3 Didn't see any shortcomings,3 Basic ASCII with sensible keybindings and good visuals. Slight demerit for using 't' as both trees and creatures.,"2 Fun as it is, but rather simple","3 Several novel mechanics. There's puzzling out procedurally generated creatures, and a hot/cold game for finding the beacon.","2 Just right for 7DRL, a small-scope game with some complex features competently implemented.",3 It's a roguelike,"A planet exploration game with procedurally generated aliens, where your excuse for exploring the random planet is finding a hidden radio beacon that keeps your ship from lifting off. Figuring out the aliens, running away from them, and distracting them with appropriate treats is an interesting mechanic and nicely conveys a different tone than the usual slay-everything mode."
Porta Lucis,Anonymous,3 It does what it sets out to do,"2 Basic interface is good and simple, and the light effects are good. There are text narration sequences that introduce a forced delay, which gets annoying fast. The prose is a bit overwritten, but just attempting a more narrativistic game is nice. For some reason no bump-to-attack.","2 It's pretty straightforward and working, there's nothing dazzling in the mechanics. Couldn't figure out how to skip the cutscene I get when dying, stopped playing when I got it the third time.","3 Lots of good stuff, an original theme, a less crunchy, theme appropriate combat dynamic",2 Seems around 7DRL level.,3 It's a roguelike,"An atmospheric horror game that's set in a low-key abandoned basement full of unnaturally ferocious rats instead of the more usual monster-filled complex. Unskippable narrative cutscenes, for example every time you die, are a terrible UI decision, these NEED to be made skippable or the game is unplayable. Other than that, the thing shows definite promise, with the minimalist presentation showing a pretty convincing modern-day scenario."
Life of Sir Pointsalot,Anonymous,1 Doesn't even appear to work.,1 Interface is broken,1 Couldn't get fighting to work,1 A knight fights goblins.,1 Not done,"2 I *think* it is, if it worked properly I could verify that. Proper roguelikes don't make you make 50 stat allocation decisions before you can start the game though.","It starts by making me allocate 50 points, one by one, to stats. Don't do this, people. Nobody cares if the stat is 50 or 51, so don't make the player make the decision. The game itself is a buggy mess, couldn't make sense of combat or the actions."
